40,50,60,70,80,90,100,110,120,130,140
316,1083,2887,5829,9789,13949,17248,19418,20709,21441,21816
338,1211,3183,6460,10560,14652,17729,19813,20899,21552,21865
128,404,1196,2601,4851,8134,11917,15431,17978,19702,20666
298,1000,2860,5831,9857,14105,17436,19577,20879,21581,21886
55,147,455,1041,2210,4282,7563,11591,15302,18002,19730
95,377,1081,2340,4595,7945,11882,15574,18175,19875,20780
158,590,1523,3297,6251,10090,13974,17024,19119,20426,21188
253,858,2453,5187,9048,13266,16754,19144,20506,21218,21631
784,2683,6392,10945,15328,18622,20622,21717,22285,22585,22736
102,315,875,1939,3849,6805,10755,14588,17597,19629,20801
