40,50,60,70,80,90,100,110,120,130,140
205,757,1714,2075,2177,2183,2184,2185,2186,2187,2184
418,1454,2531,2531,2534,2531,2529,2529,2528,2530,2530
333,1119,2012,2011,2010,2009,2008,2006,2006,2006,2009
255,928,1658,1662,1658,1659,1661,1661,1660,1658,1659
478,1758,3135,3134,3136,3134,3132,3136,3135,3134,3134
388,1505,2723,2727,2725,2723,2723,2724,2726,2723,2725
419,1556,2799,2797,2798,2796,2796,2798,2796,2797,2796
411,1550,2855,2854,2855,2854,2857,2857,2855,2856,2855
367,1316,2423,2426,2423,2422,2424,2422,2423,2423,2422
494,1616,2766,2762,2763,2762,2764,2765,2767,2766,2765
