40,50,60,70,80,90,100,110,120,130,140
822,2618,6940,13942,20598,24686,26431,27085,27292,27366,27397
196,597,1938,5639,12512,19826,24247,26259,27032,27298,27395
412,1346,4150,10167,17646,23089,25746,26839,27187,27316,27367
176,678,2199,6249,13107,20050,24344,26351,27107,27381,27473
308,1155,3492,8967,16520,22401,25400,26681,27173,27332,27388
282,1049,3305,8883,16325,22403,25442,26679,27138,27299,27365
89,282,864,2821,7765,15192,21664,25142,26616,27163,27347
105,311,1138,3582,9001,16368,22255,25346,26637,27125,27331
382,1259,3917,9919,17514,23057,25723,26847,27244,27371,27426
784,2735,7321,14352,20993,24685,26335,26955,27164,27241,27278
