40,50,60,70,80,90,100,110,120,130,140
536,1785,3803,4568,4757,4776,4778,4780,4781,4779,4780
134,490,938,957,966,973,970,971,972,973,971
219,709,1401,1451,1468,1480,1488,1495,1499,1497,1497
449,1645,3018,3088,3111,3124,3127,3126,3127,3127,3127
927,2759,4756,4860,4898,4921,4926,4934,4940,4943,4944
126,374,729,756,766,772,773,770,770,772,773
509,1778,3241,3317,3348,3359,3362,3367,3366,3365,3365
458,1661,3087,3189,3232,3244,3244,3247,3245,3245,3244
293,1041,1957,2005,2032,2041,2047,2052,2051,2049,2048
167,589,1127,1164,1178,1179,1179,1180,1181,1180,1180
