40,50,60,70,80,90,100,110,120,130,140
679,2256,4908,6178,6786,7100,7296,7415,7501,7562,7590
423,1365,2777,3249,3616,3849,4028,4163,4265,4319,4360
381,1276,2395,2758,3026,3201,3352,3440,3500,3551,3579
318,1098,2117,2395,2637,2821,2953,3044,3116,3168,3206
461,1621,3181,3594,3899,4111,4288,4407,4493,4548,4591
147,563,1164,1347,1477,1583,1675,1757,1826,1878,1905
656,2132,4090,4665,5033,5305,5479,5596,5669,5723,5754
491,1751,3367,3897,4290,4544,4702,4801,4866,4912,4955
53,243,528,628,723,803,836,871,898,918,940
510,1718,3320,3796,4130,4347,4493,4586,4641,4680,4690
