40,50,60,70,80,90,100,110,120,130,140
674,2025,4140,4876,5053,5065,5065,5068,5065,5065,5068
424,1505,2670,2667,2667,2667,2669,2668,2667,2667,2668
48,152,252,251,251,253,250,252,254,251,250
1242,3988,6431,6431,6431,6427,6428,6429,6427,6427,6427
311,1059,1934,1933,1934,1935,1934,1934,1934,1935,1936
917,3156,5347,5350,5347,5345,5346,5347,5346,5347,5347
1776,5205,8188,8187,8188,8188,8188,8188,8189,8190,8190
706,2250,3924,3926,3925,3924,3925,3926,3925,3925,3924
522,1792,3117,3112,3112,3114,3114,3112,3113,3114,3113
266,848,1501,1500,1500,1499,1499,1500,1501,1500,1500
