40,50,60,70,80,90,100,110,120,130,140
176,618,1377,1610,1667,1681,1684,1687,1684,1682,1682
16,18,26,28,26,25,26,24,25,24,28
238,788,1419,1438,1448,1449,1450,1453,1448,1449,1448
919,2920,5130,5236,5265,5270,5274,5277,5275,5274,5275
380,1264,2302,2343,2351,2357,2356,2358,2357,2360,2357
640,2158,3745,3818,3845,3850,3850,3849,3848,3848,3848
877,2896,4972,5052,5077,5081,5082,5079,5080,5082,5081
97,365,659,670,674,675,673,673,676,673,673
488,1647,2971,3016,3033,3035,3037,3042,3041,3038,3040
174,692,1209,1224,1235,1234,1232,1234,1234,1235,1236
