40,50,60,70,80,90,100,110,120,130,140
369,1321,2766,3272,3431,3443,3447,3446,3443,3445,3442
211,736,1390,1429,1450,1450,1449,1447,1448,1449,1451
544,1883,3436,3501,3532,3541,3549,3550,3552,3549,3548
158,502,942,971,986,990,991,993,996,996,994
99,343,587,592,594,593,595,593,596,594,592
576,1833,3340,3415,3445,3466,3473,3474,3475,3474,3478
313,1131,1985,2043,2058,2064,2066,2069,2069,2071,2074
283,919,1751,1804,1816,1819,1820,1817,1817,1819,1822
175,486,917,938,951,956,960,958,959,958,961
159,599,1170,1220,1230,1231,1228,1227,1228,1228,1229
