40,50,60,70,80,90,100,110,120,130,140
247,692,1656,3337,5774,8273,10245,11778,12782,13320,13560
110,233,533,1082,2113,3372,4873,6360,7721,8938,9511
82,182,412,836,1640,2747,3889,5031,6322,7468,8114
209,473,1080,2244,4192,6442,8740,10590,11882,12769,13127
197,551,1290,2637,4683,6788,8698,10354,11504,12221,12471
175,381,941,2006,3696,5816,7824,9565,10969,11906,12318
240,546,1254,2579,4609,6660,8483,10312,11675,12444,12762
138,366,939,1966,3775,5806,7777,9576,11108,12027,12464
290,728,1814,3409,5951,8432,10338,11758,12790,13351,13607
216,595,1351,2713,4807,7069,8989,10605,11790,12700,13062
