40,50,60,70,80,90,100,110,120,130,140
298,972,3283,8098,14091,18618,20814,21993,22545,22764,22815
446,1465,4322,9812,15924,19928,21809,22716,23067,23197,23223
672,2160,6066,12613,18562,21864,23062,23582,23801,23856,23886
594,2059,5747,11803,17738,21135,22596,23226,23478,23559,23580
130,406,1352,3704,8201,13538,17262,19550,20850,21407,21611
479,1641,4995,10653,16515,20372,22134,22904,23218,23316,23338
818,2585,7019,13548,19334,22332,23473,23949,24128,24198,24211
541,1964,5802,12088,18076,21251,22752,23397,23663,23740,23754
431,1416,4389,9931,16188,20201,22079,22890,23222,23364,23380
133,444,1458,4065,8778,13708,17530,19796,20929,21410,21579
