40,50,60,70,80,90,100,110,120,130,140
1281,4906,12850,20803,25348,26924,27376,27506,27562,27571,27575
1123,4175,11671,20005,24978,26759,27280,27443,27495,27507,27512
165,651,2491,7536,15355,21161,24032,25287,25720,25901,25936
247,941,3577,9633,17297,22377,24555,25451,25794,25899,25924
702,2650,8448,17292,23431,25991,26800,27091,27182,27211,27215
166,767,3044,8960,16842,21913,24390,25440,25804,25905,25952
1140,4220,11906,20289,25141,26817,27347,27506,27565,27581,27582
1886,6421,15090,22456,26128,27361,27701,27831,27867,27873,27876
410,1614,5768,13547,20983,24582,25911,26397,26556,26608,26618
722,2651,8436,16668,22697,25428,26365,26674,26779,26807,26814
