40,50,60,70,80,90,100,110,120,130,140
192,508,1329,2373,3519,4208,4542,4725,4825,4871,4891
191,546,1450,2611,3921,4722,5102,5311,5417,5466,5480
105,332,945,1804,2770,3392,3721,3934,4051,4110,4129
38,74,175,325,485,618,690,735,766,774,775
67,210,661,1291,2065,2569,2841,3038,3130,3193,3204
246,687,1793,3159,4692,5587,6043,6293,6410,6477,6498
53,127,293,612,990,1256,1410,1498,1562,1585,1599
202,652,1716,3068,4619,5534,6023,6282,6392,6447,6459
130,380,1037,1886,2919,3592,3969,4187,4311,4364,4383
222,667,1725,3111,4683,5658,6186,6471,6620,6683,6697
