40,50,60,70,80,90,100,110,120,130,140
1853,6911,17100,24596,27791,28663,28889,28950,28961,28966,28967
536,2307,8419,17823,24579,27161,27976,28218,28275,28288,28294
991,4347,12696,21989,26678,28089,28489,28590,28609,28613,28615
588,2611,9369,19072,25165,27433,28080,28250,28314,28324,28327
1211,4866,13633,22342,26793,28187,28564,28670,28694,28703,28704
407,1721,6622,15917,23519,26778,27777,28082,28173,28203,28202
703,3287,10773,20310,25763,27724,28258,28414,28447,28453,28453
275,1324,5568,14320,22501,26130,27342,27769,27906,27944,27946
298,1326,5335,13755,22262,26254,27540,27923,28057,28089,28099
824,3731,11841,20956,26103,27870,28322,28439,28476,28484,28485
