peaks,locaitons
1299,76.1950109399329
366,78.2664403335975
1965,78.1329386471035
1995,76.4663208189368
811,78.430087562203
1139,76.4964663610483
900,76.1088808196142
439,77.5300278048727
1160,75.9969116631999
2409,78.0037434666255
